,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"32_0.5_0.1_[1024, 1024]",71.6343592861331,124.14727783203125,68.40107727050781,55.74620056152344,0.0,0.0,71.95083465342724,68.60287300339395,57.723480224609375,126.32635498046875,68.60287475585938,57.723480224609375,0.0,0.0,0.9914213793679307,0.9908980017750019
"32_0.5_0.1_[1024, 1024, 1024]",71.59784338908814,114.3857192993164,68.21590423583984,46.16981506347656,0.0,0.0,72.38169325862194,68.83576460244781,48.40858459472656,117.24434661865234,68.83576202392578,48.40858459472656,0.0,0.0,0.9935948416115546,0.9922173992262435
"32_0.5_0.1_[2048, 2048]",70.36303416940693,128.58644104003906,67.34699249267578,61.23945236206055,0.0,0.0,70.86474902308464,67.59696885824707,66.35086059570312,133.94784545898438,67.59698486328125,66.35086059570312,0.0,0.0,0.9939703521256862,0.9928552017950024
"32_0.5_0.1_[2048, 2048, 2048]",70.72086856791682,121.45407104492188,67.62574005126953,53.82833480834961,0.0,0.0,70.56535725601937,67.3165783676278,56.50050735473633,123.81707763671875,67.31657409667969,56.50050735473633,0.0,0.0,0.9936755568161021,0.9923655318185848
"32_0.5_0.1_[4096, 4096]",70.78118856288489,125.41552734375,67.24747467041016,58.16804885864258,0.0,0.0,68.91735369952747,65.07284839594836,63.28402328491211,128.35687255859375,65.07284545898438,63.28402328491211,0.0,0.0,0.994322498290031,0.9931421857752253
"32_0.5_1.0_[1024, 1024]",80.49624156868512,102.39654541015625,73.76869201660156,28.62785530090332,0.0,0.0,82.65861704101101,75.60362795553966,30.021230697631836,105.6248550415039,75.60362243652344,30.021230697631836,0.0,0.0,0.9833265860155295,0.9822330465242664
"32_0.5_1.0_[1024, 1024, 1024]",80.8772189892193,93.36200714111328,75.4626693725586,17.89933967590332,0.0,0.0,82.61316324789635,76.75362250454299,19.370380401611328,96.12400817871094,76.75362396240234,19.370380401611328,0.0,0.0,0.987254908467025,0.9851198365230912
"32_0.5_1.0_[2048, 2048]",80.28915150025475,101.2312240600586,72.83519744873047,28.396024703979492,0.0,0.0,81.44782505137135,73.55298898294735,30.07556915283203,103.6285629272461,73.55299377441406,30.07556915283203,0.0,0.0,0.9867692434659221,0.9846918657400213
"32_0.5_1.0_[2048, 2048, 2048]",79.30539706381937,96.75242614746094,72.9339599609375,23.818464279174805,0.0,0.0,80.96443067922613,74.1608547036295,25.433929443359375,99.59478759765625,74.16085815429688,25.433929443359375,0.0,0.0,0.9896813457765621,0.9876414903465864
"32_0.5_1.0_[4096, 4096]",79.94072257472514,100.94951629638672,72.93779754638672,28.01171875,0.0,0.0,80.80146954738177,72.67468617886098,32.50714111328125,105.18181610107422,72.67467498779297,32.50714111328125,0.0,0.0,0.9865632548526402,0.9840170485450048
"32_1.0_0.1_[1024, 1024]",71.44142037520321,125.900146484375,68.18024444580078,57.719905853271484,0.0,0.0,71.8822311871777,68.59954893617777,58.10057067871094,126.70013427734375,68.59956359863281,58.10057067871094,0.0,0.0,0.992059999379512,0.9909153430374654
"32_1.0_0.1_[1024, 1024, 1024]",71.60240323951822,124.47648620605469,69.00931549072266,55.467166900634766,0.0,0.0,72.67090940437159,70.00238281969646,57.080780029296875,127.08316040039062,70.00238037109375,57.080780029296875,0.0,0.0,0.9912635165680452,0.9896779646855223
"32_1.0_0.1_[2048, 2048]",70.57026781223027,140.94692993164062,67.92314910888672,73.02377319335938,0.0,0.0,71.0155717138411,68.34919060957506,73.55533599853516,141.90452575683594,68.34918975830078,73.55533599853516,0.0,0.0,0.991558397043787,0.9897558123316796
"32_1.0_0.1_[2048, 2048, 2048]",70.72130447310438,134.5440673828125,68.14848327636719,66.39557647705078,0.0,0.0,70.74569043150893,68.21392111107187,65.33598327636719,133.54991149902344,68.21392822265625,65.33598327636719,0.0,0.0,0.9923790222492951,0.991467259356537
"32_1.0_0.1_[4096, 4096]",69.56609623974126,131.064208984375,66.6345443725586,64.42967224121094,0.0,0.0,69.55304184357577,66.32948481851304,70.847412109375,137.17689514160156,66.32948303222656,70.847412109375,0.0,0.0,0.9940651839730568,0.9923070088128944
"32_1.0_1.0_[1024, 1024]",80.73757571995554,98.84508514404297,73.78279113769531,25.062294006347656,0.0,0.0,82.97184154951074,75.58464538354391,26.620529174804688,102.20518493652344,75.58465576171875,26.620529174804688,0.0,0.0,0.9857516154280244,0.983165391189615
"32_1.0_1.0_[1024, 1024, 1024]",81.04977892247271,93.76463317871094,75.46987915039062,18.294757843017578,0.0,0.0,83.0960969141373,77.13660723936349,19.539308547973633,96.67591857910156,77.13661193847656,19.539308547973633,0.0,0.0,0.9860060278186495,0.983398039192517
"32_1.0_1.0_[2048, 2048]",79.77748512744675,101.72195434570312,72.46266174316406,29.259296417236328,0.0,0.0,81.43882919380124,73.64461350912829,31.176864624023438,104.82147979736328,73.64461517333984,31.176864624023438,0.0,0.0,0.9872441956101742,0.9853109741530293
"32_1.0_1.0_[2048, 2048, 2048]",79.80807028823993,98.29695892333984,73.31198120117188,24.9849796295166,0.0,0.0,80.78364815993321,73.98705176813182,26.140756607055664,100.1278076171875,73.98705291748047,26.140756607055664,0.0,0.0,0.9872449417441356,0.985583952029157
"32_1.0_1.0_[4096, 4096]",79.71409106024721,99.02124786376953,72.11231231689453,26.908935546875,0.0,0.0,81.08049233440809,72.51812367247057,30.30927085876465,102.82740020751953,72.51812744140625,30.30927085876465,0.0,0.0,0.9896484988890074,0.9870427695833183
"32_2.0_0.1_[1024, 1024]",71.7326764785741,117.46465301513672,67.76948547363281,49.695167541503906,0.0,0.0,71.96437005384671,67.94226976743481,50.43385696411133,118.37612915039062,67.94227600097656,50.43385696411133,0.0,0.0,0.9938747352453692,0.9927604695795766
"32_2.0_0.1_[1024, 1024, 1024]",71.4297574235101,112.44598388671875,67.79031372070312,44.65567398071289,0.0,0.0,72.57552163690393,68.77111411420441,46.679847717285156,115.45097351074219,68.77112579345703,46.679847717285156,0.0,0.0,0.9937889832609647,0.9918528940098882
"32_2.0_0.1_[2048, 2048]",71.23038386204847,121.87696838378906,67.37432861328125,54.50264358520508,0.0,0.0,70.5198274491428,66.51881762474909,56.55137634277344,123.07019805908203,66.5188217163086,56.55137634277344,0.0,0.0,0.9925068462544435,0.9915300146279236
