,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"10_0.0_0.1_[1024, 1024]",26.281809895186115,47.427040100097656,25.395021438598633,22.032020568847656,0.0,0.0,26.642306382879013,25.73483032388489,22.545984268188477,48.280818939208984,25.734834671020508,22.545984268188477,0.0,0.0,0.9746882418452875,0.9459718271379932
"10_0.0_0.1_[1024, 1024, 1024]",25.993828526191994,43.6527214050293,24.851665496826172,18.801055908203125,0.0,0.0,26.304505229912756,25.14205067803614,19.135051727294922,44.277099609375,25.14204978942871,19.135051727294922,0.0,0.0,0.9953038708524394,0.961298363730367
"10_0.0_0.1_[2048, 2048]",25.993744563834188,47.01466369628906,25.032001495361328,21.9826602935791,0.0,0.0,26.07152789888177,25.07128541900095,22.862688064575195,47.93397521972656,25.071285247802734,22.862688064575195,0.0,0.0,0.9917049480544372,0.9813513118785125
"10_0.0_1.0_[1024, 1024]",28.505343253354695,38.80105209350586,26.396587371826172,12.404464721679688,0.0,0.0,28.94363679847945,26.783840185927055,12.70468521118164,39.48853302001953,26.783845901489258,12.70468521118164,0.0,0.0,0.9643886444280028,0.915692106361888
"10_0.0_1.0_[1024, 1024, 1024]",28.48637580410231,38.51042556762695,26.360063552856445,12.150361061096191,0.0,0.0,29.083891822611513,26.885587593878714,12.561738967895508,39.44732666015625,26.885589599609375,12.561738967895508,0.0,0.0,0.9764648367306653,0.9242616312159828
"10_0.0_1.0_[2048, 2048]",28.27132833367058,39.452301025390625,26.141618728637695,13.310683250427246,0.0,0.0,28.446835990803393,26.27440712952107,13.577676773071289,39.852081298828125,26.274404525756836,13.577676773071289,0.0,0.0,0.980064517226147,0.942058994101213
"10_0.5_0.1_[1024, 1024]",26.035117057010183,42.497413635253906,24.819778442382812,17.677637100219727,0.0,0.0,26.425345662057143,25.175865599504366,18.17426300048828,43.35013198852539,25.17586898803711,18.17426300048828,0.0,0.0,0.987404039565113,0.9599377220351484
"10_0.5_0.1_[1024, 1024, 1024]",26.02640888386175,45.30299377441406,24.936819076538086,20.36617660522461,0.0,0.0,26.287630647757112,25.222244842941446,19.913745880126953,45.135986328125,25.222240447998047,19.913745880126953,0.0,0.0,0.99418057864285,0.9568419175398529
"10_0.5_0.1_[2048, 2048]",26.17142166879642,50.37283706665039,25.319608688354492,25.0532283782959,0.0,0.0,26.10630257271477,25.23081457448991,25.749645233154297,50.98046112060547,25.23081398010254,25.749645233154297,0.0,0.0,0.988111192968236,0.9612763603971203
"10_0.5_1.0_[1024, 1024]",28.64962753300527,37.74013900756836,26.34137725830078,11.398760795593262,0.0,0.0,29.196845811751846,26.83410674531315,11.66784381866455,38.50196075439453,26.834115982055664,11.66784381866455,0.0,0.0,0.9666651988336029,0.9300259861454353
"10_0.5_1.0_[1024, 1024, 1024]",28.674546447939125,38.170440673828125,26.374298095703125,11.796141624450684,0.0,0.0,29.19084560364002,26.871235331609867,11.895439147949219,38.76667785644531,26.871240615844727,11.895439147949219,0.0,0.0,0.9792864364285166,0.9422138638427517
"10_0.5_1.0_[2048, 2048]",27.742801252991356,39.948486328125,25.75583267211914,14.19265365600586,0.0,0.0,28.40484193526449,26.345283650408096,14.711125373840332,41.056400299072266,26.345273971557617,14.711125373840332,0.0,0.0,0.9798948199908256,0.9084731824529777
"10_1.0_0.1_[1024, 1024]",26.413319310451453,42.51203155517578,25.178293228149414,17.333740234375,0.0,0.0,26.670792860128984,25.397766251373135,17.867042541503906,43.264808654785156,25.397768020629883,17.867042541503906,0.0,0.0,0.9780379911223749,0.9562043274952847
"10_1.0_0.1_[1024, 1024, 1024]",25.908355318646382,44.97002410888672,24.718584060668945,20.25143814086914,0.0,0.0,26.31813499139028,25.184844974740127,19.290042877197266,44.47488784790039,25.184844970703125,19.290042877197266,0.0,0.0,0.9946924126260063,0.9621907945962731
"10_1.0_0.1_[2048, 2048]",25.836521496512674,47.75201416015625,24.91147804260254,22.840538024902344,0.0,0.0,26.141422222278273,25.180618231249856,23.72355079650879,48.9041748046875,25.180622100830078,23.72355079650879,0.0,0.0,0.9880165627508383,0.9361509814323234
"10_1.0_1.0_[1024, 1024]",28.860492943037244,38.58419418334961,26.616558074951172,11.967637062072754,0.0,0.0,29.06251125761,26.790426272017523,12.117781639099121,38.9082145690918,26.790433883666992,12.117781639099121,0.0,0.0,0.9691175883121295,0.9315242093821889
"10_1.0_1.0_[1024, 1024, 1024]",28.718912878218745,37.951881408691406,26.48235321044922,11.469529151916504,0.0,0.0,29.217301960559865,26.92851789011327,11.737354278564453,38.665870666503906,26.92851448059082,11.737354278564453,0.0,0.0,0.9783503441530704,0.9302462347558034
"10_1.0_1.0_[2048, 2048]",27.94672257189862,39.624820709228516,25.885883331298828,13.738937377929688,0.0,0.0,28.50182157964748,26.354824218078704,14.313311576843262,40.66814041137695,26.354829788208008,14.313311576843262,0.0,0.0,0.9821021200995363,0.9426926247419118
"10_2.0_0.1_[1024, 1024]",26.334124362260845,43.94199752807617,25.24999237060547,18.692005157470703,0.0,0.0,26.487530682480816,25.36984719922286,19.27040672302246,44.64025115966797,25.369842529296875,19.27040672302246,0.0,0.0,0.9779564093081109,0.948381158830103
"10_2.0_0.1_[1024, 1024, 1024]",25.726825399140115,44.723731994628906,24.66893768310547,20.054794311523438,0.0,0.0,26.279444869590257,25.221400309086466,20.05771827697754,45.27912139892578,25.221405029296875,20.05771827697754,0.0,0.0,0.9951556236039971,0.961506208307161
"10_2.0_0.1_[2048, 2048]",26.075906173048377,44.980281829833984,24.954458236694336,20.02582359313965,0.0,0.0,26.17373264289399,25.02692411165602,20.478721618652344,45.505645751953125,25.02692413330078,20.478721618652344,0.0,0.0,0.9897931985777731,0.9582593662410835
